"find::id","picture:id","picture::type","picture::size","picture::file","picture::path","photo author","photo2","photo author 2","drawing no","drawing author","drawing"
12722,50,"photo","1074,1190","BE96_lamps/BE96-999_001_5243-G-001_baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE96_lamps/BE96-999_001_5243-G-001_baza.jpg","Zych, I. (2010)","size:2816,2112
image:BE96_lamps/BE96-999_001_5243-G-001_07.JPG
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE96_lamps/BE96-999_001_5243-G-001_07.JPG","BE96-999_001_5243-G-001_07.JPG",,,
15146,51,"photo","1074,585","BE00_lamps/BE00-10_514_PB984_2_baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE00_lamps/BE00-10_514_PB984_2_baza.jpg","Zych, I. (2010)",,"BE00-10_514_PB984_2_baza.jpg",,,
12713,52,"photo","1077,1071","BE95_lamps/BE95-07_023_PB042_2348-G-005_baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE95_lamps/BE95-07_023_PB042_2348-G-005_baza.jpg","Zych, I. (2010)",,"BE95-07_023_PB042_2348-G-005_baza.jpg","BE13_drawing106_lamp_b,jpg","Dzwonek. A. (2013)",
2155,53,"photo","1083,1394","BE10_lamps/BE10-60_001_019_baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE10_lamps/BE10-60_001_019_baza.jpg","Zych, I. (2010)",,"BE10-60_001_019_baza.jpg","BE10_drawing040b_varia_lamps; 045a_lamps","Witkowska, T.; Zych, I.",
447,54,"photo","1087,1412","BE09_objects_gg_lamps/BE09-55_013_004_gg-009_a.JPG","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BERENIKE'08/BE_registry/BERENIKE_finds_database/BE09_objects_gg_lamps/BE09-55_013_004_gg-009_a.JPG","Zych, I.","size:1067,1409
image:BE09_objects_gg_lamps/BE09-55_013_004_gg-009_b.JPG
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BERENIKE'08/BE_registry_2010/BERENIKE_finds_database/BE09_objects_gg_lamps/BE09-55_013_004_gg-009_b.JPG",,,"Zych, I.; inking Woźniak, M.; digitizing Puszkarski, M.","size:839,929
image:BE09_objects_gg_lamps/BE09-55_013_004_D_lamp.tif
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BERENIKE'08/BE_registry_2010/BERENIKE_finds_database/BE09_objects_gg_lamps/BE09-55_013_004_D_lamp.tif"
12956,55,"photo","1090,1161","BE97_lamps/BE97-12_235_PB247_3435-G_01baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE97_lamps/BE97-12_235_PB247_3435-G_01baza.jpg","Zych, I. (2010)",,"BE97-12_235_PB247_3435-G_01baza.jpg","BE13_drawing086_lamps.jpg","Zych, I. (2013)",
12933,56,"photo","1090,1300","BE97_lamps/BE97-13_002_006,005_2599-G_01baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE97_lamps/BE97-13_002_006,005_2599-G_01baza.jpg","Zych, I. (2010)",,"BE97-13_002_006,005_2599-G_01baza.jpg","BE13_drawing084_lamps.jpg","Zych, I. (2013)",
10833,57,"photo","1090,1343","BE12_lamps/BE12-84_013_015_baza_DSC3543.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE12_lamps/BE12-84_013_015_baza_DSC3543.jpg","Braulińska, K. (2013)","size:772,1007
image:BE12_lamps/BE12-84_013_015_baza2_DSC3544.jpg
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE12_lamps/BE12-84_013_015_baza2_DSC3544.jpg","BE12-84_013_015_baza_DSC3543.jpg",,,
12822,58,"photo","1090,682","BE00_lamps/BE00-30_175_PB245_terracotta_baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE00_lamps/BE00-30_175_PB245_terracotta_baza.jpg","Zych, I. (2010)","size:2816,2112
image:BE00_lamps/BE00-30_175_PB245_terracotta_03.JPG
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE00_lamps/BE00-30_175_PB245_terracotta_03.JPG","BE00-30_175_PB245_terracotta_baza.jpg",,,
10141,59,"photo","1091,843","BE12_lamps/BE12-84_018_001_baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE12_lamps/BE12-84_018_001_baza.jpg","Zych, I. (2012)",,"BE12-84_018_001_baza.jpg",,,
12971,60,"photo","1093,1106","BE97_lamps/BE97-999_004_5309-G_01baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE97_lamps/BE97-999_004_5309-G_01baza.jpg","Zych, I. (2010)",,"BE97-999_004_5309-G_01baza.jpg",,"Zych, I. (2013)",
12920,61,"photo","1093,1307","BE97_lamps/BE97-17_066_002_5121-G_01baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE97_lamps/BE97-17_066_002_5121-G_01baza.jpg","Zych, I. (2010)",,"BE97-17_066_002_5121-G_01baza.jpg","BE13_drawing087_lamps.jpg","Zych, I. (2013)",
15013,62,"photo","1096,1006","BE99_lamps/BE99_10_316_PB630_01baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE99_lamps/BE99_10_316_PB630_01baza.jpg","Zych, I.","size:1135,867
image:BE99_lamps/BE99_10_316_PB630_02baza.jpg
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE99_lamps/BE99_10_316_PB630_02baza.jpg","BE99_10_316_PB630_01baza;BE99_10_316_PB630_02baza",,"Zych, I. (2014)",
12818,63,"photo","1096,1074","BE00_lamps/BE00-10_493_PB956_3303-gg-40_baza1.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE00_lamps/BE00-10_493_PB956_3303-gg-40_baza1.jpg","Zych, I. (2010)","size:974,1190
image:BE00_lamps/BE00-10_493_PB956_3303-gg-40_baza2.jpg
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE00_lamps/BE00-10_493_PB956_3303-gg-40_baza2.jpg","BE00-10_493_PB956_3303-gg-40_baza1.jpg",,"not drawn",
12923,64,"photo","1100,1054","BE97_lamps/BE97-17_999_PB147_5296-G_01baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE97_lamps/BE97-17_999_PB147_5296-G_01baza.jpg","Zych, I. (2010)",,"BE97-17_999_PB147_5296-G_01baza.jpg","BE13_drawing087_lamps.jpg","Zych, I. (2013)",
12732,65,"photo","1100,1333","BE96_lamps/BE96-07_082_PB176_2365-G-003_baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE96_lamps/BE96-07_082_PB176_2365-G-003_baza.jpg","Zych, I. (2010)","size:1080,1297
image:BE96_lamps/BE96-07_082_PB176_2365-G-003_baza2.jpg
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE96_lamps/BE96-07_082_PB176_2365-G-003_baza2.jpg","BE96-07_082_PB176_2365-G-003_baza.jpg","BE13_drawing105_lamp_b,jpg","Dzwonek. A. (2013)",
12717,66,"photo","1106,1119","BE95_lamps/BE95-04_045_PB065_3547-G-003_baza1.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE95_lamps/BE95-04_045_PB065_3547-G-003_baza1.jpg","Zych, I. (2010)","size:1200,1216
image:BE95_lamps/BE95-04_045_PB065_3547-G-003_baza2.jpg
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE95_lamps/BE95-04_045_PB065_3547-G-003_baza2.jpg","BE95-04_045_PB065_3547-G-003_baza1.jpg","BE13_drawing105_lamp_a,jpg","Dzwonek. A. (2013)",
15035,67,"photo","1107,869","BE00_lamps/BE00-10_480_PB935_a+b+c_01baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE00_lamps/BE00-10_480_PB935_a+b+c_01baza.jpg","Zych, I. (2014)","size:1265,1090
image:BE00_lamps/BE00-10_480_PB935_a_01baza.jpg
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE00_lamps/BE00-10_480_PB935_a_01baza.jpg","BE00-10_480_PB935_a+b+c_01baza.jpg; BE00-10_480_PB935_a_01baza.jpg",,"Zych, I. (2014)",
15036,68,"photo","1107,869","BE00_lamps/BE00-10_480_PB935_a+b+c_01baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE00_lamps/BE00-10_480_PB935_a+b+c_01baza.jpg","Zych, I. (2014)","size:1051,935
image:BE00_lamps/BE00-10_480_PB935_a+b+c_02baza.jpg
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE00_lamps/BE00-10_480_PB935_a+b+c_02baza.jpg",,,"Zych, I. (2014)",
15037,69,"photo","1107,869","BE00_lamps/BE00-10_480_PB935_a+b+c_01baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE00_lamps/BE00-10_480_PB935_a+b+c_01baza.jpg","Zych, I. (2014)","size:1051,935
image:BE00_lamps/BE00-10_480_PB935_a+b+c_02baza.jpg
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE00_lamps/BE00-10_480_PB935_a+b+c_02baza.jpg","BE00-10_480_PB935_a+b+c_01baza.jpg; BE00-10_480_PB935_a+b+c_02baza.jpg",,"Zych, I. (2014)",
14962,70,"photo","1109,1174","BE14_lamps/BE14-96_006_025_PB010_01baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE14_nowa baza danych/BE14_lamps/BE14-96_006_025_PB010_01baza.jpg","Zych, I. (2014)",,"BE14-96_006_025_PB010_01baza.jpg",,,
448,71,"photo","1110,1435","BE09_objects_gg_lamps/BE09-55_029_002_gg-010_a.JPG","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BERENIKE'08/BE_registry/BERENIKE_finds_database/BE09_objects_gg_lamps/BE09-55_029_002_gg-010_a.JPG","Zych, I.","size:2816,2112
image:BE09_objects_gg_lamps/BE09-55_029_002_gg-010_d.JPG
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BERENIKE'08/BE_registry_2010/BERENIKE_finds_database/BE09_objects_gg_lamps/BE09-55_029_002_gg-010_d.JPG",,,"Zych, I.; inking Woźniak, M.; digitizing Puszkarski, M.","size:653,1135
image:BE09_objects_gg_lamps/BE09-55_029_002_D_lamp.tif
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BERENIKE'08/BE_registry_2010/BERENIKE_finds_database/BE09_objects_gg_lamps/BE09-55_029_002_D_lamp.tif"
454,72,"photo","1116,1656","BE09_objects_gg_lamps/BE09-57_007_021_gg-016_c.JPG","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BERENIKE'08/BE_registry_2010/BERENIKE_finds_database/BE09_objects_gg_lamps/BE09-57_007_021_gg-016_c.JPG","Zych, I.","size:768,1119
image:BE09_objects_gg_lamps/BE09-57_007_021_gg-016_a.JPG
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BERENIKE'08/BE_registry_2010/BERENIKE_finds_database/BE09_objects_gg_lamps/BE09-57_007_021_gg-016_a.JPG",,,,
1965,73,"photo","1119,1865","BE10_OSTRACON/BE10-60_001_006_emergency.JPG","/F:/BE14_nowa baza danych WYJAŚNIĆ/BE10_OSTRACON/BE10-60_001_006_emergency.JPG",,"size:3872,2592
image:BE10_OSTRACON/BE10-60_001_006_a_DSC_0383.JPG
imagewin:/F:/BE14_nowa baza danych WYJAŚNIĆ/BE10_OSTRACON/BE10-60_001_006_a_DSC_0383.JPG","BE10-60_001_006_emergency.JPG",,,
6157,74,"photo","1122,1029","BE11_lamps/BE11-76_003_014_01baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE11_lamps/BE11-76_003_014_01baza.jpg","Zych, I. (2014)","size:1239,1080
image:BE11_lamps/BE11-76_003_014_02baza.jpg
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE11_lamps/BE11-76_003_014_02baza.jpg","BE11-76_003_014_01baza.jpg; BE11-76_003_014_02baza.jpg",,,
12702,75,"photo","1122,1190","BE01_lamps/BE01-46_002_PB020_1498-gg-015_baza1.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE01_lamps/BE01-46_002_PB020_1498-gg-015_baza1.jpg","Zych, I. (2010)","size:1184,1388
image:BE01_lamps/BE01-46_002_PB020_1498-gg-015_baza2.jpg
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE01_lamps/BE01-46_002_PB020_1498-gg-015_baza2.jpg","Zych, I (2010)BE01-46_002_PB020_1498-gg-015_baza1.jpg","BE13_drawing104_lamps_a.jpg","Dzwonek, A. (2013)",
4379,76,"photo","1129,1067","BE10_lamps/BE10-999_016_baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE10_lamps/BE10-999_016_baza.jpg","Zych, I. (2010)",,"BE10-999_016_baza.jpg","BE10_drawing045b_lamps","Zych, I.",
